insee_code,name,postal_code,lat,lon
45204,Mézières-lez-Cléry,45370,47.811500,1.821200
64412,Nabas,64190,43.331600,-0.890500
12167,Najac,12270,44.208700,1.958400
12168,Nant,12230,44.020400,3.288700
16242,Nanteuil-en-Vallée,16700,46.009100,0.320800
42155,Nervieux,42510,45.812100,4.147500
39385,Neublans-Abergement,39120,46.903200,5.344400
25422,Neuchâtel-Urtière,25150,47.379900,6.728500
58190,Neuffontaines,58190,47.353600,3.733500
28319,Neuville Saint Denis,28310,48.277400,1.922200
81197,Noailles,81170,44.011500,1.987400
02555,Nogent-l'Artaud,02310,48.942500,3.331300
72220,Nogent-le-Bernard,72110,48.241600,0.505300
10267,Nogent-sur-Aube,10240,48.486600,4.300400
21457,Noidan,21390,47.345300,4.414800
55386,Nonsard-Lamarche,55210,48.936700,5.761800
23143,Noth,23300,46.242600,1.579800
49228,Noyant-Villages,49390,47.511100,0.102700
44113,Nozay,44170,47.572700,-1.602700
79195,Nueil-les-Aubiers,79250,46.939100,-0.611400
24308,Négrondes,24460,45.339600,0.876900
05093,Névache,05100,45.048700,6.616000
76467,Néville,76460,49.827900,0.710800
36145,Obterre,36290,46.911900,1.070900
26221,Omblèze,26400,44.853700,5.233300
40208,Onard,40380,43.777800,-0.829800
51416,Orbais-l'Abbaye,51270,48.948400,3.699200
78466,Orgeval,78630,48.918500,1.969800
13067,Orgon,13660,43.784400,5.029400
02575,Origny-Sainte-Benoite,02390,49.827000,3.534000
40212,Orthevielle,40300,43.567500,-1.144800
40214,Ossages,40290,43.558200,-0.878800
45238,Ousson-sur-Loire,45250,47.603600,2.794300
09223,Oust,09140,42.859800,1.236200
45244,Ouzouer-sur-Loire,45570,47.786200,2.470000
35211,Paimpont,35380,48.032700,-2.179300
52376,Pansey,52230,48.480000,5.279400
37178,Panzoult,37220,47.169400,0.403400
72228,Parcé-sur-Sarthe,72300,47.827100,-0.192900
47200,Parranquet,47210,44.662800,0.818700
61324,Passais Villages,61350,48.488600,-0.768700
34194,Paulhan,34230,43.537800,3.459900
24319,Paussac-et-Saint-Vivien,24310,45.339400,0.542700
39411,Perrigny,39570,46.675400,5.599800
76497,Petit-Couronne,76650,49.381700,1.034200
12179,Peux-et-Couffouleux,12360,43.766000,2.877000
48009,Peyre en Aubrac,48130,44.692300,3.273000
50400,Picauville,50250,49.380000,-1.396400
83092,Pignans,83790,43.299700,6.262500
04150,Piégut,05130,44.454600,6.132100
53179,Placé,53240,48.267000,-0.776700
31424,Plaisance-du-Touch,31830,43.562600,1.283300
58210,Planchez,58230,47.148300,4.024100
29163,Pleyber-Christ,29410,48.508100,-3.875400
